tau_i,T_i,sim_i,subj_id,loc_id,exec_t,finetune
38,109,0.398460166250161,id86237981,left_wrist,4.34799408912659,maxima
146,110,0.355777139440962,id86237981,left_wrist,4.34799408912659,maxima
255,109,0.286192754338085,id86237981,left_wrist,4.34799408912659,maxima
363,106,0.312811282239,id86237981,left_wrist,4.34799408912659,maxima
468,105,0.24090422731449,id86237981,left_wrist,4.34799408912659,maxima
572,106,0.332190670546019,id86237981,left_wrist,4.34799408912659,maxima
677,104,0.264337484090771,id86237981,left_wrist,4.34799408912659,maxima
780,108,0.31809664183495,id86237981,left_wrist,4.34799408912659,maxima
887,107,0.320749352410203,id86237981,left_wrist,4.34799408912659,maxima
993,106,0.364215782469983,id86237981,left_wrist,4.34799408912659,maxima
1098,105,0.317863354409507,id86237981,left_wrist,4.34799408912659,maxima
1202,105,0.293507192869634,id86237981,left_wrist,4.34799408912659,maxima
1306,106,0.258721423521867,id86237981,left_wrist,4.34799408912659,maxima
1411,106,0.31491543348514,id86237981,left_wrist,4.34799408912659,maxima
1516,108,0.282222831947827,id86237981,left_wrist,4.34799408912659,maxima
1623,106,0.253449046807385,id86237981,left_wrist,4.34799408912659,maxima
1728,105,0.281280203244332,id86237981,left_wrist,4.34799408912659,maxima
1832,104,0.274543619460122,id86237981,left_wrist,4.34799408912659,maxima
1935,108,0.309549031607575,id86237981,left_wrist,4.34799408912659,maxima
2042,106,0.29316118648797,id86237981,left_wrist,4.34799408912659,maxima
2147,105,0.314585579267766,id86237981,left_wrist,4.34799408912659,maxima
2251,105,0.275734608000201,id86237981,left_wrist,4.34799408912659,maxima
2355,105,0.30252357610302,id86237981,left_wrist,4.34799408912659,maxima
2459,103,0.264634021295525,id86237981,left_wrist,4.34799408912659,maxima
2561,103,0.288195230994969,id86237981,left_wrist,4.34799408912659,maxima
2663,107,0.310676558855613,id86237981,left_wrist,4.34799408912659,maxima
2769,105,0.336025706563168,id86237981,left_wrist,4.34799408912659,maxima
2873,106,0.284692436709724,id86237981,left_wrist,4.34799408912659,maxima
2978,103,0.295018231818402,id86237981,left_wrist,4.34799408912659,maxima
3080,104,0.28090443644468,id86237981,left_wrist,4.34799408912659,maxima
3183,103,0.289985542458266,id86237981,left_wrist,4.34799408912659,maxima
3285,106,0.284335665067129,id86237981,left_wrist,4.34799408912659,maxima
3390,105,0.276399587691547,id86237981,left_wrist,4.34799408912659,maxima
3494,105,0.293904827969898,id86237981,left_wrist,4.34799408912659,maxima
3598,107,0.337356428344612,id86237981,left_wrist,4.34799408912659,maxima
3704,106,0.287279200929776,id86237981,left_wrist,4.34799408912659,maxima
3809,104,0.256849674183706,id86237981,left_wrist,4.34799408912659,maxima
3912,106,0.302756345624072,id86237981,left_wrist,4.34799408912659,maxima
4017,106,0.314778663334426,id86237981,left_wrist,4.34799408912659,maxima
4122,105,0.285692531361994,id86237981,left_wrist,4.34799408912659,maxima
4226,105,0.302770462625173,id86237981,left_wrist,4.34799408912659,maxima
4330,108,0.280239353358847,id86237981,left_wrist,4.34799408912659,maxima
4437,105,0.296855383480475,id86237981,left_wrist,4.34799408912659,maxima
4541,107,0.319317853528251,id86237981,left_wrist,4.34799408912659,maxima
4647,105,0.288350129508788,id86237981,left_wrist,4.34799408912659,maxima
4751,106,0.310619981535909,id86237981,left_wrist,4.34799408912659,maxima
4856,105,0.271347342183958,id86237981,left_wrist,4.34799408912659,maxima
4960,105,0.307823683868668,id86237981,left_wrist,4.34799408912659,maxima
5064,108,0.32494287160102,id86237981,left_wrist,4.34799408912659,maxima
5171,105,0.256995936521258,id86237981,left_wrist,4.34799408912659,maxima
5275,105,0.293489350038693,id86237981,left_wrist,4.34799408912659,maxima
5379,105,0.240035928787413,id86237981,left_wrist,4.34799408912659,maxima
5483,104,0.285839262638851,id86237981,left_wrist,4.34799408912659,maxima
5586,106,0.268461412959018,id86237981,left_wrist,4.34799408912659,maxima
5691,103,0.280939727361599,id86237981,left_wrist,4.34799408912659,maxima
5793,103,0.265625159696127,id86237981,left_wrist,4.34799408912659,maxima
5895,108,0.284724606726506,id86237981,left_wrist,4.34799408912659,maxima
6002,104,0.297010135651022,id86237981,left_wrist,4.34799408912659,maxima
6105,104,0.277556001497092,id86237981,left_wrist,4.34799408912659,maxima
6208,106,0.293074072842259,id86237981,left_wrist,4.34799408912659,maxima
6313,107,0.330329707723642,id86237981,left_wrist,4.34799408912659,maxima
6419,108,0.24387713348756,id86237981,left_wrist,4.34799408912659,maxima
6526,105,0.215079268187045,id86237981,left_wrist,4.34799408912659,maxima
6630,107,0.271647050117577,id86237981,left_wrist,4.34799408912659,maxima
6736,105,0.32701874298681,id86237981,left_wrist,4.34799408912659,maxima
6840,105,0.31016942623838,id86237981,left_wrist,4.34799408912659,maxima
6944,107,0.324142452634298,id86237981,left_wrist,4.34799408912659,maxima
7050,105,0.329083479402443,id86237981,left_wrist,4.34799408912659,maxima
7154,105,0.381911981381429,id86237981,left_wrist,4.34799408912659,maxima
7258,104,0.283816735480212,id86237981,left_wrist,4.34799408912659,maxima
7361,105,0.3208483408044,id86237981,left_wrist,4.34799408912659,maxima
7465,103,0.318047097634227,id86237981,left_wrist,4.34799408912659,maxima
7567,107,0.325456377785325,id86237981,left_wrist,4.34799408912659,maxima
7673,103,0.269481936723274,id86237981,left_wrist,4.34799408912659,maxima
7775,105,0.288243543098813,id86237981,left_wrist,4.34799408912659,maxima
7879,102,0.292474383270407,id86237981,left_wrist,4.34799408912659,maxima
7980,105,0.261245447476919,id86237981,left_wrist,4.34799408912659,maxima
8084,106,0.28946731235098,id86237981,left_wrist,4.34799408912659,maxima
8189,106,0.315425425582766,id86237981,left_wrist,4.34799408912659,maxima
8294,103,0.259842492533097,id86237981,left_wrist,4.34799408912659,maxima
8396,104,0.273460057107328,id86237981,left_wrist,4.34799408912659,maxima
