tau_i,T_i,sim_i,subj_id,loc_id,exec_t
38,109,0.398612425758922,id86237981,left_wrist,1.37950491905212
146,110,0.35521597214209,id86237981,left_wrist,1.37950491905212
255,109,0.28291335936638,id86237981,left_wrist,1.37950491905212
363,106,0.31189243252268,id86237981,left_wrist,1.37950491905212
468,105,0.239709938061686,id86237981,left_wrist,1.37950491905212
572,106,0.330928764881298,id86237981,left_wrist,1.37950491905212
677,104,0.260426495208321,id86237981,left_wrist,1.37950491905212
780,108,0.317881363967632,id86237981,left_wrist,1.37950491905212
887,107,0.319976160614746,id86237981,left_wrist,1.37950491905212
993,106,0.363940657451352,id86237981,left_wrist,1.37950491905212
1098,105,0.315159604665981,id86237981,left_wrist,1.37950491905212
1202,105,0.293210966674717,id86237981,left_wrist,1.37950491905212
1306,106,0.256925540439306,id86237981,left_wrist,1.37950491905212
1411,106,0.314400269348668,id86237981,left_wrist,1.37950491905212
1516,108,0.281748360513753,id86237981,left_wrist,1.37950491905212
1623,106,0.253449046807385,id86237981,left_wrist,1.37950491905212
1728,105,0.280404643415357,id86237981,left_wrist,1.37950491905212
1832,104,0.26665828926245,id86237981,left_wrist,1.37950491905212
1935,108,0.308843568420128,id86237981,left_wrist,1.37950491905212
2042,106,0.29316118648797,id86237981,left_wrist,1.37950491905212
2147,105,0.314883921268206,id86237981,left_wrist,1.37950491905212
2251,105,0.266377532231459,id86237981,left_wrist,1.37950491905212
2355,105,0.30163770395753,id86237981,left_wrist,1.37950491905212
2459,103,0.261118666303317,id86237981,left_wrist,1.37950491905212
2561,103,0.28643659553595,id86237981,left_wrist,1.37950491905212
2663,107,0.311175895263304,id86237981,left_wrist,1.37950491905212
2769,105,0.335086474873498,id86237981,left_wrist,1.37950491905212
2873,106,0.284692436709724,id86237981,left_wrist,1.37950491905212
2978,103,0.29551563252853,id86237981,left_wrist,1.37950491905212
3080,104,0.277585177858496,id86237981,left_wrist,1.37950491905212
3183,103,0.289663168982109,id86237981,left_wrist,1.37950491905212
3285,106,0.283290792759162,id86237981,left_wrist,1.37950491905212
3390,105,0.270221671861109,id86237981,left_wrist,1.37950491905212
3494,105,0.293721029425823,id86237981,left_wrist,1.37950491905212
3598,107,0.335971935291822,id86237981,left_wrist,1.37950491905212
3704,106,0.284418207236251,id86237981,left_wrist,1.37950491905212
3809,104,0.252211794120625,id86237981,left_wrist,1.37950491905212
3912,106,0.302651220764948,id86237981,left_wrist,1.37950491905212
4017,106,0.31364250746922,id86237981,left_wrist,1.37950491905212
4122,105,0.277337881732281,id86237981,left_wrist,1.37950491905212
4226,105,0.302899728404316,id86237981,left_wrist,1.37950491905212
4330,108,0.274139610045454,id86237981,left_wrist,1.37950491905212
4437,105,0.296066957019557,id86237981,left_wrist,1.37950491905212
4541,107,0.319187778317649,id86237981,left_wrist,1.37950491905212
4647,105,0.280648151874682,id86237981,left_wrist,1.37950491905212
4751,106,0.309202162970544,id86237981,left_wrist,1.37950491905212
4856,105,0.262564212469712,id86237981,left_wrist,1.37950491905212
4960,105,0.307529717579251,id86237981,left_wrist,1.37950491905212
5064,108,0.324265976535332,id86237981,left_wrist,1.37950491905212
5171,105,0.247226926560862,id86237981,left_wrist,1.37950491905212
5275,105,0.293330667275767,id86237981,left_wrist,1.37950491905212
5379,105,0.232959374099946,id86237981,left_wrist,1.37950491905212
5483,104,0.284862685575584,id86237981,left_wrist,1.37950491905212
5586,106,0.268461412959018,id86237981,left_wrist,1.37950491905212
5691,103,0.28072821428546,id86237981,left_wrist,1.37950491905212
5793,103,0.264307151609585,id86237981,left_wrist,1.37950491905212
5895,108,0.282355409144813,id86237981,left_wrist,1.37950491905212
6002,104,0.297383748606789,id86237981,left_wrist,1.37950491905212
6105,104,0.271060642200726,id86237981,left_wrist,1.37950491905212
6208,106,0.29306649864454,id86237981,left_wrist,1.37950491905212
6313,107,0.330120156103274,id86237981,left_wrist,1.37950491905212
6419,108,0.241632749945348,id86237981,left_wrist,1.37950491905212
6526,105,0.206439040175653,id86237981,left_wrist,1.37950491905212
6630,107,0.27175524297042,id86237981,left_wrist,1.37950491905212
6736,105,0.326811451467803,id86237981,left_wrist,1.37950491905212
6840,105,0.302122323550078,id86237981,left_wrist,1.37950491905212
6944,107,0.324051699472461,id86237981,left_wrist,1.37950491905212
7050,105,0.328556381510506,id86237981,left_wrist,1.37950491905212
7154,105,0.380797750377274,id86237981,left_wrist,1.37950491905212
7258,104,0.282455260525144,id86237981,left_wrist,1.37950491905212
7361,105,0.320552067335817,id86237981,left_wrist,1.37950491905212
7465,103,0.316555997188237,id86237981,left_wrist,1.37950491905212
7567,107,0.325330142495186,id86237981,left_wrist,1.37950491905212
7673,103,0.266197220637479,id86237981,left_wrist,1.37950491905212
7775,105,0.286347950240787,id86237981,left_wrist,1.37950491905212
7879,102,0.29279192449681,id86237981,left_wrist,1.37950491905212
7980,105,0.255343920742161,id86237981,left_wrist,1.37950491905212
8084,106,0.28946731235098,id86237981,left_wrist,1.37950491905212
8189,106,0.31489471256961,id86237981,left_wrist,1.37950491905212
8294,103,0.257531976458971,id86237981,left_wrist,1.37950491905212
8396,104,0.273306117038264,id86237981,left_wrist,1.37950491905212
8499,104,0.237400497624174,id86237981,left_wrist,1.37950491905212
8602,105,0.272502810924326,id86237981,left_wrist,1.37950491905212
8706,105,0.278727779533575,id86237981,left_wrist,1.37950491905212
8810,106,0.285963343336842,id86237981,left_wrist,1.37950491905212
8915,106,0.211768465642307,id86237981,left_wrist,1.37950491905212
9020,105,0.281555928121241,id86237981,left_wrist,1.37950491905212
9124,108,0.251221966400649,id86237981,left_wrist,1.37950491905212
9231,104,0.277332419176819,id86237981,left_wrist,1.37950491905212
9334,106,0.290732245705141,id86237981,left_wrist,1.37950491905212
9439,106,0.301733118639603,id86237981,left_wrist,1.37950491905212
9544,105,0.291774489321577,id86237981,left_wrist,1.37950491905212
9648,103,0.249553418175301,id86237981,left_wrist,1.37950491905212
9750,105,0.296274336747432,id86237981,left_wrist,1.37950491905212
9854,105,0.305600561434564,id86237981,left_wrist,1.37950491905212
9958,105,0.223698088945278,id86237981,left_wrist,1.37950491905212
10062,107,0.291160769710174,id86237981,left_wrist,1.37950491905212
10168,106,0.316992341310746,id86237981,left_wrist,1.37950491905212
10273,104,0.337886286463186,id86237981,left_wrist,1.37950491905212
10376,103,0.265783569882106,id86237981,left_wrist,1.37950491905212
10478,105,0.297156552417846,id86237981,left_wrist,1.37950491905212
10582,104,0.262425217657159,id86237981,left_wrist,1.37950491905212
10685,104,0.33958079919513,id86237981,left_wrist,1.37950491905212
10788,105,0.274877365721472,id86237981,left_wrist,1.37950491905212
10892,104,0.315688790271964,id86237981,left_wrist,1.37950491905212
10995,105,0.237782844621334,id86237981,left_wrist,1.37950491905212
11099,106,0.28257064313897,id86237981,left_wrist,1.37950491905212
11204,105,0.237606033064506,id86237981,left_wrist,1.37950491905212
11308,106,0.280429379011844,id86237981,left_wrist,1.37950491905212
11413,103,0.285990616791846,id86237981,left_wrist,1.37950491905212
11515,106,0.317620113962,id86237981,left_wrist,1.37950491905212
11620,102,0.320587133350383,id86237981,left_wrist,1.37950491905212
11721,103,0.217379885186912,id86237981,left_wrist,1.37950491905212
11823,102,0.242888763471831,id86237981,left_wrist,1.37950491905212
11924,103,0.208776304374027,id86237981,left_wrist,1.37950491905212
12026,106,0.244461356272064,id86237981,left_wrist,1.37950491905212
12131,102,0.266781512957444,id86237981,left_wrist,1.37950491905212
12232,104,0.277145019281915,id86237981,left_wrist,1.37950491905212
12335,104,0.240790611209113,id86237981,left_wrist,1.37950491905212
12438,107,0.265100279795629,id86237981,left_wrist,1.37950491905212
12544,106,0.280297183692632,id86237981,left_wrist,1.37950491905212
12649,107,0.284755543442159,id86237981,left_wrist,1.37950491905212
12755,105,0.243035566103679,id86237981,left_wrist,1.37950491905212
12859,104,0.294243896894535,id86237981,left_wrist,1.37950491905212
12962,104,0.239849627542696,id86237981,left_wrist,1.37950491905212
13065,105,0.298783559982706,id86237981,left_wrist,1.37950491905212
13169,102,0.242478782007218,id86237981,left_wrist,1.37950491905212
13270,105,0.287323512293683,id86237981,left_wrist,1.37950491905212
13374,105,0.295491099177541,id86237981,left_wrist,1.37950491905212
13478,104,0.272526651981224,id86237981,left_wrist,1.37950491905212
13581,106,0.288188294374313,id86237981,left_wrist,1.37950491905212
13686,103,0.236507807121703,id86237981,left_wrist,1.37950491905212
13788,105,0.2657296603908,id86237981,left_wrist,1.37950491905212
13892,106,0.232962134222635,id86237981,left_wrist,1.37950491905212
13997,108,0.273229565949344,id86237981,left_wrist,1.37950491905212
14104,103,0.315458488311251,id86237981,left_wrist,1.37950491905212
14206,105,0.262743398753091,id86237981,left_wrist,1.37950491905212
14310,107,0.336329633449894,id86237981,left_wrist,1.37950491905212
14416,105,0.27923107187614,id86237981,left_wrist,1.37950491905212
14520,105,0.312462275575685,id86237981,left_wrist,1.37950491905212
14624,106,0.339015828769263,id86237981,left_wrist,1.37950491905212
14729,105,0.266307835951885,id86237981,left_wrist,1.37950491905212
14833,104,0.31659476552813,id86237981,left_wrist,1.37950491905212
14936,107,0.323400152519445,id86237981,left_wrist,1.37950491905212
15042,107,0.35434590722672,id86237981,left_wrist,1.37950491905212
15148,105,0.300089006080988,id86237981,left_wrist,1.37950491905212
15252,106,0.367463809455199,id86237981,left_wrist,1.37950491905212
15357,103,0.273959651742321,id86237981,left_wrist,1.37950491905212
15459,107,0.31405944374481,id86237981,left_wrist,1.37950491905212
15565,105,0.321927262369778,id86237981,left_wrist,1.37950491905212
15669,104,0.282823759841563,id86237981,left_wrist,1.37950491905212
15772,105,0.316595511344852,id86237981,left_wrist,1.37950491905212
15876,105,0.281753019132006,id86237981,left_wrist,1.37950491905212
15980,103,0.295112587305586,id86237981,left_wrist,1.37950491905212
16082,104,0.333496522436184,id86237981,left_wrist,1.37950491905212
16185,106,0.275808043374594,id86237981,left_wrist,1.37950491905212
16290,106,0.32205030172399,id86237981,left_wrist,1.37950491905212
16395,106,0.295927111585853,id86237981,left_wrist,1.37950491905212
16500,106,0.335210933212918,id86237981,left_wrist,1.37950491905212
16605,104,0.274608620172804,id86237981,left_wrist,1.37950491905212
16708,106,0.3395300802102,id86237981,left_wrist,1.37950491905212
16813,106,0.297699101425323,id86237981,left_wrist,1.37950491905212
16918,106,0.340285442334875,id86237981,left_wrist,1.37950491905212
17023,104,0.258670649245676,id86237981,left_wrist,1.37950491905212
17126,105,0.319002578774013,id86237981,left_wrist,1.37950491905212
17230,108,0.32930761190255,id86237981,left_wrist,1.37950491905212
17337,107,0.3528529094248,id86237981,left_wrist,1.37950491905212
17443,108,0.371369616784264,id86237981,left_wrist,1.37950491905212
17550,108,0.308497584130514,id86237981,left_wrist,1.37950491905212
17657,104,0.318807470760607,id86237981,left_wrist,1.37950491905212
17760,102,0.328003794392528,id86237981,left_wrist,1.37950491905212
17861,108,0.256523588031494,id86237981,left_wrist,1.37950491905212
17968,104,0.329623945702483,id86237981,left_wrist,1.37950491905212
18071,107,0.360995391324751,id86237981,left_wrist,1.37950491905212
18177,105,0.269988398879355,id86237981,left_wrist,1.37950491905212
18281,107,0.316716610635866,id86237981,left_wrist,1.37950491905212
18387,105,0.275331738901997,id86237981,left_wrist,1.37950491905212
18491,105,0.322352043905965,id86237981,left_wrist,1.37950491905212
18595,105,0.330168416376871,id86237981,left_wrist,1.37950491905212
18699,105,0.345554857492222,id86237981,left_wrist,1.37950491905212
18803,106,0.267196649847433,id86237981,left_wrist,1.37950491905212
18908,107,0.335746771361893,id86237981,left_wrist,1.37950491905212
19014,105,0.257859984237465,id86237981,left_wrist,1.37950491905212
19118,105,0.359030724813995,id86237981,left_wrist,1.37950491905212
19222,109,0.296501329021471,id86237981,left_wrist,1.37950491905212
19330,105,0.317535825739525,id86237981,left_wrist,1.37950491905212
19434,106,0.33052293311419,id86237981,left_wrist,1.37950491905212
19539,106,0.349208630813942,id86237981,left_wrist,1.37950491905212
19644,105,0.25539133332475,id86237981,left_wrist,1.37950491905212
19748,105,0.352222363612453,id86237981,left_wrist,1.37950491905212
19852,108,0.355018617770667,id86237981,left_wrist,1.37950491905212
19959,103,0.385079737912614,id86237981,left_wrist,1.37950491905212
20061,107,0.386704145976454,id86237981,left_wrist,1.37950491905212
20167,110,0.400829691521498,id86237981,left_wrist,1.37950491905212
20276,109,0.365900736167225,id86237981,left_wrist,1.37950491905212
20384,110,0.31780974354261,id86237981,left_wrist,1.37950491905212
20493,55,0.125031750669562,id86237981,left_wrist,1.37950491905212
20547,91,0.378576389994331,id86237981,left_wrist,1.37950491905212
27,116,0.26408173878301,id86237981,left_hip,1.21322298049927
142,109,0.304620382660904,id86237981,left_hip,1.21322298049927
250,109,0.336331482722741,id86237981,left_hip,1.21322298049927
358,110,0.319773941544079,id86237981,left_hip,1.21322298049927
467,106,0.34904956937198,id86237981,left_hip,1.21322298049927
572,105,0.336383816037685,id86237981,left_hip,1.21322298049927
676,106,0.350924441375459,id86237981,left_hip,1.21322298049927
781,106,0.36424026668722,id86237981,left_hip,1.21322298049927
886,104,0.319257071209938,id86237981,left_hip,1.21322298049927
989,108,0.338677586157927,id86237981,left_hip,1.21322298049927
1096,106,0.318448644350486,id86237981,left_hip,1.21322298049927
1201,108,0.341743680485139,id86237981,left_hip,1.21322298049927
1308,104,0.32076005569605,id86237981,left_hip,1.21322298049927
1411,108,0.336957919557899,id86237981,left_hip,1.21322298049927
1518,102,0.344979475860122,id86237981,left_hip,1.21322298049927
1619,107,0.358632448394993,id86237981,left_hip,1.21322298049927
1725,105,0.331970388023004,id86237981,left_hip,1.21322298049927
1829,107,0.346875931811344,id86237981,left_hip,1.21322298049927
1935,105,0.323328843568087,id86237981,left_hip,1.21322298049927
2039,107,0.341961099439953,id86237981,left_hip,1.21322298049927
2145,106,0.354597984476698,id86237981,left_hip,1.21322298049927
2250,107,0.357521226424388,id86237981,left_hip,1.21322298049927
2356,104,0.33691508736557,id86237981,left_hip,1.21322298049927
2459,105,0.353077767884695,id86237981,left_hip,1.21322298049927
2563,102,0.356248043967581,id86237981,left_hip,1.21322298049927
2664,106,0.36428449069165,id86237981,left_hip,1.21322298049927
2769,106,0.371301802447038,id86237981,left_hip,1.21322298049927
2874,104,0.371404726406491,id86237981,left_hip,1.21322298049927
2977,105,0.35305383958328,id86237981,left_hip,1.21322298049927
3081,105,0.332596835089901,id86237981,left_hip,1.21322298049927
3185,105,0.351013952632557,id86237981,left_hip,1.21322298049927
3289,102,0.342352347792347,id86237981,left_hip,1.21322298049927
3390,104,0.359167151182082,id86237981,left_hip,1.21322298049927
3493,105,0.33483334909989,id86237981,left_hip,1.21322298049927
3597,107,0.357991085949703,id86237981,left_hip,1.21322298049927
3703,107,0.362487596746774,id86237981,left_hip,1.21322298049927
3809,105,0.341936469358949,id86237981,left_hip,1.21322298049927
3913,103,0.353566292238454,id86237981,left_hip,1.21322298049927
4015,107,0.360895303169882,id86237981,left_hip,1.21322298049927
4121,105,0.364033546769169,id86237981,left_hip,1.21322298049927
4225,105,0.364128090321758,id86237981,left_hip,1.21322298049927
4329,106,0.367544890876551,id86237981,left_hip,1.21322298049927
4434,106,0.371924915345124,id86237981,left_hip,1.21322298049927
4539,107,0.342634166531383,id86237981,left_hip,1.21322298049927
4645,106,0.357332481707461,id86237981,left_hip,1.21322298049927
4750,105,0.357967492062551,id86237981,left_hip,1.21322298049927
4854,107,0.36473908919135,id86237981,left_hip,1.21322298049927
4960,104,0.343723121197627,id86237981,left_hip,1.21322298049927
5063,105,0.371073185751045,id86237981,left_hip,1.21322298049927
5167,108,0.35230701513174,id86237981,left_hip,1.21322298049927
5274,104,0.363831856788436,id86237981,left_hip,1.21322298049927
5377,105,0.338776750451355,id86237981,left_hip,1.21322298049927
5481,105,0.360223916674054,id86237981,left_hip,1.21322298049927
5585,105,0.336527323663773,id86237981,left_hip,1.21322298049927
5689,104,0.360973063904339,id86237981,left_hip,1.21322298049927
5792,106,0.339978051549298,id86237981,left_hip,1.21322298049927
5897,105,0.361535268539545,id86237981,left_hip,1.21322298049927
6001,105,0.345309426009366,id86237981,left_hip,1.21322298049927
6105,104,0.350904024175484,id86237981,left_hip,1.21322298049927
6208,104,0.335192613167192,id86237981,left_hip,1.21322298049927
6311,109,0.354374766456317,id86237981,left_hip,1.21322298049927
6419,106,0.341205915720808,id86237981,left_hip,1.21322298049927
6524,108,0.319681575537089,id86237981,left_hip,1.21322298049927
6631,106,0.34494141436292,id86237981,left_hip,1.21322298049927
6736,107,0.330167945952613,id86237981,left_hip,1.21322298049927
6842,105,0.353111386296637,id86237981,left_hip,1.21322298049927
6946,105,0.374355402045563,id86237981,left_hip,1.21322298049927
7050,106,0.359122127356279,id86237981,left_hip,1.21322298049927
7155,105,0.368659373668368,id86237981,left_hip,1.21322298049927
7259,105,0.373383547619569,id86237981,left_hip,1.21322298049927
7363,105,0.361508072592921,id86237981,left_hip,1.21322298049927
7467,104,0.376127071023692,id86237981,left_hip,1.21322298049927
7570,103,0.378565488812194,id86237981,left_hip,1.21322298049927
7672,107,0.356002901156177,id86237981,left_hip,1.21322298049927
7778,103,0.374312449745939,id86237981,left_hip,1.21322298049927
7880,103,0.379288096186074,id86237981,left_hip,1.21322298049927
7982,103,0.347684010002294,id86237981,left_hip,1.21322298049927
8084,104,0.356798672594638,id86237981,left_hip,1.21322298049927
8187,107,0.340620340065381,id86237981,left_hip,1.21322298049927
8293,105,0.359661443147425,id86237981,left_hip,1.21322298049927
8397,104,0.369920418482528,id86237981,left_hip,1.21322298049927
8500,104,0.338907403929885,id86237981,left_hip,1.21322298049927
8603,105,0.35249036813175,id86237981,left_hip,1.21322298049927
8707,102,0.384640794198306,id86237981,left_hip,1.21322298049927
8808,107,0.341290987633379,id86237981,left_hip,1.21322298049927
8914,108,0.321591233932756,id86237981,left_hip,1.21322298049927
9021,104,0.335562812179528,id86237981,left_hip,1.21322298049927
9124,105,0.367074651688868,id86237981,left_hip,1.21322298049927
9228,108,0.330938142198921,id86237981,left_hip,1.21322298049927
9335,107,0.353018312161775,id86237981,left_hip,1.21322298049927
9441,106,0.337415569826819,id86237981,left_hip,1.21322298049927
9546,105,0.360377727289961,id86237981,left_hip,1.21322298049927
9650,105,0.341780538218768,id86237981,left_hip,1.21322298049927
9754,103,0.36854341769898,id86237981,left_hip,1.21322298049927
9856,105,0.341359072858217,id86237981,left_hip,1.21322298049927
9960,104,0.34928722451947,id86237981,left_hip,1.21322298049927
10063,106,0.357447829617313,id86237981,left_hip,1.21322298049927
10168,106,0.325973929718521,id86237981,left_hip,1.21322298049927
10273,105,0.36215072498387,id86237981,left_hip,1.21322298049927
10377,105,0.366338610693528,id86237981,left_hip,1.21322298049927
10481,104,0.367162783046731,id86237981,left_hip,1.21322298049927
10584,104,0.369761243483235,id86237981,left_hip,1.21322298049927
10687,104,0.387547234071415,id86237981,left_hip,1.21322298049927
10790,104,0.357200033001725,id86237981,left_hip,1.21322298049927
10893,104,0.392215325390435,id86237981,left_hip,1.21322298049927
10996,106,0.365428851993782,id86237981,left_hip,1.21322298049927
11101,105,0.344130598373761,id86237981,left_hip,1.21322298049927
11205,105,0.374022875807556,id86237981,left_hip,1.21322298049927
11309,105,0.345213498957283,id86237981,left_hip,1.21322298049927
11413,104,0.364028677443837,id86237981,left_hip,1.21322298049927
11516,105,0.352182496856613,id86237981,left_hip,1.21322298049927
11620,104,0.365876978246239,id86237981,left_hip,1.21322298049927
11723,102,0.352012622290574,id86237981,left_hip,1.21322298049927
11824,105,0.373986131724997,id86237981,left_hip,1.21322298049927
11928,100,0.355313057088727,id86237981,left_hip,1.21322298049927
12027,104,0.368593577461031,id86237981,left_hip,1.21322298049927
12130,105,0.343075590297962,id86237981,left_hip,1.21322298049927
12234,104,0.374618587011164,id86237981,left_hip,1.21322298049927
12337,103,0.342608776159709,id86237981,left_hip,1.21322298049927
12439,104,0.364743827618977,id86237981,left_hip,1.21322298049927
12542,106,0.335086707232219,id86237981,left_hip,1.21322298049927
12647,106,0.352038247110489,id86237981,left_hip,1.21322298049927
12752,106,0.352306496389141,id86237981,left_hip,1.21322298049927
12857,105,0.355173617685478,id86237981,left_hip,1.21322298049927
12961,108,0.346178314263726,id86237981,left_hip,1.21322298049927
13068,104,0.375422378847837,id86237981,left_hip,1.21322298049927
13171,104,0.358906276178118,id86237981,left_hip,1.21322298049927
13274,104,0.352908062367833,id86237981,left_hip,1.21322298049927
13377,101,0.355900992388608,id86237981,left_hip,1.21322298049927
13477,108,0.340677392202379,id86237981,left_hip,1.21322298049927
13584,103,0.364939063964793,id86237981,left_hip,1.21322298049927
13686,105,0.344094149403742,id86237981,left_hip,1.21322298049927
13790,105,0.358170570147401,id86237981,left_hip,1.21322298049927
13894,106,0.343402194086867,id86237981,left_hip,1.21322298049927
13999,104,0.356920328911202,id86237981,left_hip,1.21322298049927
14102,107,0.338646676550614,id86237981,left_hip,1.21322298049927
14208,105,0.361219570266035,id86237981,left_hip,1.21322298049927
14312,104,0.383079258528444,id86237981,left_hip,1.21322298049927
14415,106,0.36260703790667,id86237981,left_hip,1.21322298049927
14520,106,0.348686805193581,id86237981,left_hip,1.21322298049927
14625,105,0.357715639770522,id86237981,left_hip,1.21322298049927
14729,105,0.361895898334074,id86237981,left_hip,1.21322298049927
14833,106,0.372658462749326,id86237981,left_hip,1.21322298049927
14938,105,0.361507826852235,id86237981,left_hip,1.21322298049927
15042,106,0.366918545244749,id86237981,left_hip,1.21322298049927
15147,106,0.371526593063732,id86237981,left_hip,1.21322298049927
15252,105,0.37204743852537,id86237981,left_hip,1.21322298049927
15356,106,0.378270227325468,id86237981,left_hip,1.21322298049927
15461,104,0.368987432151232,id86237981,left_hip,1.21322298049927
15564,105,0.376481224570083,id86237981,left_hip,1.21322298049927
15668,105,0.35912551892862,id86237981,left_hip,1.21322298049927
15772,106,0.365632211419132,id86237981,left_hip,1.21322298049927
15877,105,0.35865814338834,id86237981,left_hip,1.21322298049927
15981,105,0.37353691604506,id86237981,left_hip,1.21322298049927
16085,104,0.363257741263063,id86237981,left_hip,1.21322298049927
16188,103,0.38754536086671,id86237981,left_hip,1.21322298049927
16290,107,0.396350054832807,id86237981,left_hip,1.21322298049927
16396,106,0.350307556823389,id86237981,left_hip,1.21322298049927
16501,105,0.379140655716763,id86237981,left_hip,1.21322298049927
16605,106,0.35987237444943,id86237981,left_hip,1.21322298049927
16710,105,0.368653101235054,id86237981,left_hip,1.21322298049927
16814,105,0.379694386872102,id86237981,left_hip,1.21322298049927
16918,105,0.364698064055518,id86237981,left_hip,1.21322298049927
17022,106,0.377986917357468,id86237981,left_hip,1.21322298049927
17127,105,0.381085944546121,id86237981,left_hip,1.21322298049927
17231,106,0.365635668429582,id86237981,left_hip,1.21322298049927
17336,106,0.381739021407202,id86237981,left_hip,1.21322298049927
17441,107,0.364147142687405,id86237981,left_hip,1.21322298049927
17547,108,0.378059403008448,id86237981,left_hip,1.21322298049927
17654,106,0.353653505933322,id86237981,left_hip,1.21322298049927
17759,105,0.378552030761341,id86237981,left_hip,1.21322298049927
17863,104,0.389088217740412,id86237981,left_hip,1.21322298049927
